Model Type,Model Name,Prompt,Accuracy,Precision,Recall,F1
BERT,All-Distilroberta-V1,-,0.871,0.873,0.871,0.870
BERT,All-Minilm-L12-V2,-,0.872,0.876,0.872,0.871
BERT,All-Minilm-L6-V2,-,0.861,0.865,0.861,0.860
BERT,All-Mpnet-Base-V2,-,0.877,0.882,0.877,0.876
LLM,Gemma2 - 9B,BP,0.662,0.693,0.662,0.656
LLM,Gemma2 - 9B,ISP,0.641,0.682,0.641,0.633
LLM,Gemma2 - 9B,ICP,0.813,0.832,0.813,0.813
LLM,Qwen 2.5 - 7B,BP,0.682,0.687,0.682,0.678
LLM,Qwen 2.5 - 7B,ISP,0.797,0.803,0.797,0.795
LLM,Qwen 2.5 - 7B,ICP,0.852,0.858,0.852,0.852
LLM,Mistral - 7B,BP,0.680,0.688,0.680,0.679
LLM,Mistral - 7B,ISP,0.729,0.738,0.729,0.729
LLM,Mistral - 7B,ICP,0.821,0.826,0.821,0.821
LLM,Llama 3.2 - 3B,BP,0.714,0.720,0.714,0.711
LLM,Llama 3.2 - 3B,ISP,0.748,0.756,0.748,0.746
LLM,Llama 3.2 - 3B,ICP,0.773,0.780,0.773,0.771
LLM2Vec,Sheared-Llama-1.3B-Unsup-Simcse,BP,0.862,0.866,0.862,0.862
LLM2Vec,Sheared-Llama-1.3B-Unsup-Simcse,ISP,0.862,0.865,0.862,0.861
LLM2Vec,Sheared-Llama-1.3B-Unsup-Simcse,ICP,0.866,0.870,0.866,0.866
LLM2Vec,Sheared-Llama-1.3B-Supervised,BP,0.912,0.917,0.912,0.912
LLM2Vec,Sheared-Llama-1.3B-Supervised,ISP,0.914,0.918,0.914,0.914
LLM2Vec,Sheared-Llama-1.3B-Supervised,ICP,0.877,0.887,0.877,0.877
LLM2Vec,Meta-Llama-3-8B-Instruct-Unsup-Simcse,BP,0.903,0.908,0.903,0.903
LLM2Vec,Meta-Llama-3-8B-Instruct-Unsup-Simcse,ISP,0.901,0.904,0.901,0.900
LLM2Vec,Meta-Llama-3-8B-Instruct-Unsup-Simcse,ICP,0.911,0.914,0.911,0.910
LLM2Vec,Meta-Llama-3-8B-Instruct-Supervised,BP,0.950,0.951,0.950,0.950
LLM2Vec,Meta-Llama-3-8B-Instruct-Supervised,ISP,0.944,0.946,0.944,0.944
LLM2Vec,Meta-Llama-3-8B-Instruct-Supervised,ICP,0.937,0.940,0.937,0.937
LLM2Vec,Mistral-7B-Instruct-V2-Unsup-Simcse,BP,0.903,0.907,0.903,0.903
LLM2Vec,Mistral-7B-Instruct-V2-Unsup-Simcse,ISP,0.903,0.907,0.903,0.903
LLM2Vec,Mistral-7B-Instruct-V2-Unsup-Simcse,ICP,0.941,0.944,0.941,0.941
LLM2Vec,Mistral-7B-Instruct-V2-Supervised,BP,0.938,0.941,0.938,0.938
LLM2Vec,Mistral-7B-Instruct-V2-Supervised,ISP,0.926,0.928,0.926,0.926
LLM2Vec,Mistral-7B-Instruct-V2-Supervised,ICP,0.937,0.940,0.937,0.938
