Model Type,Model Name,Prompt,Accuracy,Precision,Recall,F1
BERT,All-Distilroberta-V1,-,0.907,0.900,0.887,0.891
BERT,All-Minilm-L12-V2,-,0.925,0.931,0.911,0.914
BERT,All-Minilm-L6-V2,-,0.922,0.924,0.906,0.911
BERT,All-Mpnet-Base-V2,-,0.919,0.917,0.904,0.906
LLM,Gemma2 - 9B,BP,0.796,0.810,0.751,0.760
LLM,Gemma2 - 9B,ISP,0.772,0.789,0.721,0.723
LLM,Gemma2 - 9B,ICP,0.790,0.816,0.744,0.756
LLM,Qwen 2.5 - 7B,BP,0.781,0.761,0.737,0.722
LLM,Qwen 2.5 - 7B,ISP,0.757,0.763,0.704,0.698
LLM,Qwen 2.5 - 7B,ICP,0.766,0.727,0.723,0.712
LLM,Mistral - 7B,BP,0.745,0.758,0.686,0.675
LLM,Mistral - 7B,ISP,0.772,0.785,0.728,0.728
LLM,Mistral - 7B,ICP,0.763,0.762,0.709,0.706
LLM,Llama 3.2 - 3B,BP,0.760,0.725,0.726,0.716
LLM,Llama 3.2 - 3B,ISP,0.781,0.766,0.734,0.728
LLM,Llama 3.2 - 3B,ICP,0.769,0.755,0.717,0.707
LLM2Vec,Sheared-Llama-1.3B-Unsup-Simcse,BP,0.823,0.795,0.783,0.783
LLM2Vec,Sheared-Llama-1.3B-Unsup-Simcse,ISP,0.823,0.793,0.781,0.781
LLM2Vec,Sheared-Llama-1.3B-Unsup-Simcse,ICP,0.802,0.790,0.755,0.753
LLM2Vec,Sheared-Llama-1.3B-Supervised,BP,0.910,0.922,0.890,0.900
LLM2Vec,Sheared-Llama-1.3B-Supervised,ISP,0.910,0.922,0.889,0.901
LLM2Vec,Sheared-Llama-1.3B-Supervised,ICP,0.817,0.849,0.775,0.790
LLM2Vec,Meta-Llama-3-8B-Instruct-Unsup-Simcse,BP,0.850,0.853,0.814,0.822
LLM2Vec,Meta-Llama-3-8B-Instruct-Unsup-Simcse,ISP,0.850,0.847,0.814,0.822
LLM2Vec,Meta-Llama-3-8B-Instruct-Unsup-Simcse,ICP,0.856,0.858,0.821,0.828
LLM2Vec,Meta-Llama-3-8B-Instruct-Supervised,BP,0.862,0.909,0.825,0.854
LLM2Vec,Meta-Llama-3-8B-Instruct-Supervised,ISP,0.886,0.921,0.858,0.880
LLM2Vec,Meta-Llama-3-8B-Instruct-Supervised,ICP,0.583,0.810,0.468,0.483
LLM2Vec,Mistral-7B-Instruct-V2-Unsup-Simcse,BP,0.883,0.901,0.855,0.869
LLM2Vec,Mistral-7B-Instruct-V2-Unsup-Simcse,ISP,0.880,0.906,0.851,0.867
LLM2Vec,Mistral-7B-Instruct-V2-Unsup-Simcse,ICP,0.868,0.869,0.839,0.846
LLM2Vec,Mistral-7B-Instruct-V2-Supervised,BP,0.898,0.919,0.874,0.891
LLM2Vec,Mistral-7B-Instruct-V2-Supervised,ISP,0.913,0.932,0.893,0.907
LLM2Vec,Mistral-7B-Instruct-V2-Supervised,ICP,0.604,0.796,0.495,0.525
