Model Type,Model Name,Prompt,Accuracy,Precision,Recall,F1
BERT,All-Distilroberta-V1,-,0.977,0.977,0.981,0.979
BERT,All-Minilm-L12-V2,-,0.977,0.979,0.980,0.979
BERT,All-Minilm-L6-V2,-,0.977,0.978,0.981,0.979
BERT,All-Mpnet-Base-V2,-,0.976,0.976,0.981,0.978
LLM,Gemma2 - 9B,BP,0.977,0.977,0.980,0.978
LLM,Gemma2 - 9B,ISP,0.973,0.977,0.973,0.975
LLM,Gemma2 - 9B,ICP,0.983,0.983,0.984,0.984
LLM,Qwen 2.5 - 7B,BP,0.987,0.988,0.989,0.989
LLM,Qwen 2.5 - 7B,ISP,0.984,0.985,0.986,0.985
LLM,Qwen 2.5 - 7B,ICP,0.986,0.989,0.986,0.987
LLM,Mistral - 7B,BP,0.983,0.987,0.982,0.984
LLM,Mistral - 7B,ISP,0.986,0.988,0.987,0.987
LLM,Mistral - 7B,ICP,0.988,0.991,0.987,0.989
LLM,Llama 3.2 - 3B,BP,0.988,0.990,0.988,0.989
LLM,Llama 3.2 - 3B,ISP,0.987,0.990,0.987,0.988
LLM,Llama 3.2 - 3B,ICP,0.988,0.990,0.988,0.989
LLM2Vec,Sheared-Llama-1.3B-Unsup-Simcse,BP,0.976,0.978,0.979,0.978
LLM2Vec,Sheared-Llama-1.3B-Unsup-Simcse,ISP,0.976,0.977,0.978,0.978
LLM2Vec,Sheared-Llama-1.3B-Unsup-Simcse,ICP,0.975,0.977,0.977,0.977
LLM2Vec,Sheared-Llama-1.3B-Supervised,BP,0.983,0.984,0.984,0.984
LLM2Vec,Sheared-Llama-1.3B-Supervised,ISP,0.983,0.984,0.985,0.984
LLM2Vec,Sheared-Llama-1.3B-Supervised,ICP,0.981,0.981,0.984,0.983
LLM2Vec,Meta-Llama-3-8B-Instruct-Unsup-Simcse,BP,0.986,0.987,0.987,0.987
LLM2Vec,Meta-Llama-3-8B-Instruct-Unsup-Simcse,ISP,0.984,0.985,0.987,0.986
LLM2Vec,Meta-Llama-3-8B-Instruct-Unsup-Simcse,ICP,0.986,0.988,0.987,0.987
LLM2Vec,Meta-Llama-3-8B-Instruct-Supervised,BP,0.983,0.983,0.986,0.984
LLM2Vec,Meta-Llama-3-8B-Instruct-Supervised,ISP,0.985,0.987,0.986,0.986
LLM2Vec,Meta-Llama-3-8B-Instruct-Supervised,ICP,0.982,0.983,0.985,0.984
LLM2Vec,Mistral-7B-Instruct-V2-Unsup-Simcse,BP,0.985,0.985,0.987,0.986
LLM2Vec,Mistral-7B-Instruct-V2-Unsup-Simcse,ISP,0.986,0.987,0.987,0.987
LLM2Vec,Mistral-7B-Instruct-V2-Unsup-Simcse,ICP,0.984,0.984,0.986,0.985
LLM2Vec,Mistral-7B-Instruct-V2-Supervised,BP,0.983,0.984,0.985,0.985
LLM2Vec,Mistral-7B-Instruct-V2-Supervised,ISP,0.984,0.987,0.985,0.986
LLM2Vec,Mistral-7B-Instruct-V2-Supervised,ICP,0.984,0.986,0.985,0.986
