Model Type,Model Name,Prompt,Accuracy,Precision,Recall,F1
BERT,All-Distilroberta-V1,-,0.674,0.682,0.674,0.671
BERT,All-Minilm-L12-V2,-,0.634,0.636,0.634,0.632
BERT,All-Minilm-L6-V2,-,0.654,0.657,0.654,0.653
BERT,All-Mpnet-Base-V2,-,0.709,0.719,0.709,0.706
LLM,Gemma2 - 9B,BP,0.914,0.915,0.914,0.914
LLM,Gemma2 - 9B,ISP,0.886,0.891,0.886,0.886
LLM,Gemma2 - 9B,ICP,0.903,0.907,0.903,0.903
LLM,Qwen 2.5 - 7B,BP,0.855,0.859,0.855,0.855
LLM,Qwen 2.5 - 7B,ISP,0.881,0.882,0.881,0.881
LLM,Qwen 2.5 - 7B,ICP,0.912,0.913,0.912,0.912
LLM,Mistral - 7B,BP,0.934,0.935,0.934,0.934
LLM,Mistral - 7B,ISP,0.797,0.835,0.796,0.790
LLM,Mistral - 7B,ICP,0.928,0.930,0.928,0.927
LLM,Llama 3.2 - 3B,BP,0.870,0.870,0.870,0.870
LLM,Llama 3.2 - 3B,ISP,0.864,0.867,0.864,0.864
LLM,Llama 3.2 - 3B,ICP,0.865,0.869,0.865,0.865
LLM2Vec,Sheared-Llama-1.3B-Unsup-Simcse,BP,0.748,0.765,0.747,0.743
LLM2Vec,Sheared-Llama-1.3B-Unsup-Simcse,ISP,0.750,0.768,0.750,0.746
LLM2Vec,Sheared-Llama-1.3B-Unsup-Simcse,ICP,0.755,0.767,0.755,0.752
LLM2Vec,Sheared-Llama-1.3B-Supervised,BP,0.756,0.773,0.756,0.752
LLM2Vec,Sheared-Llama-1.3B-Supervised,ISP,0.741,0.747,0.741,0.739
LLM2Vec,Sheared-Llama-1.3B-Supervised,ICP,0.740,0.758,0.740,0.736
LLM2Vec,Meta-Llama-3-8B-Instruct-Unsup-Simcse,BP,0.768,0.788,0.768,0.764
LLM2Vec,Meta-Llama-3-8B-Instruct-Unsup-Simcse,ISP,0.764,0.782,0.765,0.761
LLM2Vec,Meta-Llama-3-8B-Instruct-Unsup-Simcse,ICP,0.763,0.782,0.763,0.759
LLM2Vec,Meta-Llama-3-8B-Instruct-Supervised,BP,0.777,0.779,0.777,0.776
LLM2Vec,Meta-Llama-3-8B-Instruct-Supervised,ISP,0.802,0.806,0.802,0.802
LLM2Vec,Meta-Llama-3-8B-Instruct-Supervised,ICP,0.835,0.839,0.835,0.835
LLM2Vec,Mistral-7B-Instruct-V2-Unsup-Simcse,BP,0.774,0.795,0.774,0.770
LLM2Vec,Mistral-7B-Instruct-V2-Unsup-Simcse,ISP,0.766,0.780,0.766,0.762
LLM2Vec,Mistral-7B-Instruct-V2-Unsup-Simcse,ICP,0.774,0.788,0.774,0.771
LLM2Vec,Mistral-7B-Instruct-V2-Supervised,BP,0.807,0.816,0.808,0.806
LLM2Vec,Mistral-7B-Instruct-V2-Supervised,ISP,0.849,0.859,0.849,0.849
LLM2Vec,Mistral-7B-Instruct-V2-Supervised,ICP,0.857,0.869,0.857,0.856
