Tipo de Modelo,Nome do Modelo,Prompt,Acurácia,Precisão,Recall,F1 Score,Tempo de geração de embeddings
llama_cpp,SanctumAI_gemma-2-9b-it-GGUF,ISP,0.781,0.719,0.689,0.677,537.236
llama_cpp,SanctumAI_gemma-2-9b-it-GGUF,BP,0.775,0.715,0.681,0.671,535.921
llama_cpp,SanctumAI_gemma-2-9b-it-GGUF,ICP,0.786,0.709,0.681,0.671,546.612
bert,all-MiniLM-L12-v2,-,0.676,0.58,0.559,0.544,10.62
bert,all-MiniLM-L6-v2,-,0.659,0.556,0.569,0.535,10.893
bert,all-distilroberta-v1,-,0.648,0.533,0.559,0.524,22.957
bert,all-mpnet-base-v2,-,0.608,0.487,0.496,0.471,29.644
llama_cpp,bartowski_aya-expanse-8b-GGUF,ISP,0.198,0.028,0.143,0.047,277.232
llama_cpp,bartowski_aya-expanse-8b-GGUF,ICP,0.198,0.028,0.143,0.047,265.916
llama_cpp,bartowski_aya-expanse-8b-GGUF,BP,0.198,0.028,0.143,0.047,226.918
