mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,split4_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score,split0_train_f1_score,split1_train_f1_score,split2_train_f1_score,split3_train_f1_score,split4_train_f1_score,mean_train_f1_score,std_train_f1_score,rank_train_f1_score,rank_train_precision,rank_train_recall,rank_train_accuracy
0.0010795116424560547,4.119287996783874e-05,0.06460223197937012,0.002883266702275905,manhattan,37,distance,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 37, 'weights': 'distance'})",0.615,0.61,0.615,0.62,0.5925,0.6105,0.009539392014169444,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6247829861111112,0.616723259762309,0.6356292015567874,0.6255361439481117,0.6000676132521974,0.6205478409261034,0.011868733773269106,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.615,0.61,0.615,0.62,0.5925,0.6105,0.009539392014169444,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6073031415748673,0.604301948051948,0.5997816991086047,0.6157637958492379,0.5846472368211499,0.6023595642811616,0.01027868832099734,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1
0.001119089126586914,9.014081510882695e-05,0.015879297256469728,0.0002785136245317797,cosine,45,uniform,"OrderedDict({'metric': 'cosine', 'n_neighbors': 45, 'weights': 'uniform'})",0.61,0.5775,0.6025,0.63,0.6075,0.6054999999999999,0.016837458240482734,18,0.625625,0.645625,0.6425,0.635625,0.63875,0.637625,0.006885219676960207,0.6234429356974527,0.5833534995025678,0.6307773276769482,0.6419368926738727,0.6177469262575646,0.6194515163616812,0.019777613742551204,18,0.6408472910546203,0.6620940040871341,0.6658181818181819,0.6486731605550237,0.6565861400105801,0.6548037555051079,0.009055487842396348,0.61,0.5775,0.6025,0.63,0.6075,0.6054999999999999,0.016837458240482734,18,0.625625,0.645625,0.6425,0.635625,0.6387499999999999,0.637625,0.006885219676960204,0.5990850916193364,0.5699499335203669,0.5797847387860007,0.6220536785924053,0.5987707562660124,0.5939288397568243,0.017978215622517623,18,0.615228813195275,0.6363891421757732,0.6294736842105264,0.6274508942496518,0.6281613123718387,0.627340769240613,0.0068382348136728725,18,18,19,19
0.001049947738647461,0.00018701425685184244,0.0759279727935791,0.0027666764717968226,manhattan,47,uniform,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 47, 'weights': 'uniform'})",0.6225,0.585,0.6125,0.625,0.5975,0.6085,0.015215124054702957,16,0.635,0.64625,0.64,0.64125,0.6475,0.642,0.004513867521316934,0.6401641923395978,0.5940369509901537,0.6418708029887449,0.6356336805555556,0.6075002067311668,0.6238411667210438,0.019421074020511422,15,0.6506706938524962,0.6594276954522228,0.6632664961114877,0.6562672862042261,0.6661457013319816,0.6591555745904829,0.005406866159200037,0.6225,0.585,0.6125,0.625,0.5975,0.6085,0.015215124054702957,16,0.635,0.64625,0.64,0.64125,0.6475,0.642,0.004513867521316934,0.6102194774101537,0.5747841901688056,0.5913497979817953,0.6175030599755202,0.5879164827008108,0.5963546016474172,0.015498545944808827,15,0.6252560723435452,0.6387858481911373,0.6267006265402244,0.632418863188094,0.6373246908578815,0.6320972202241765,0.005442282153972412,16,16,15,15
0.000878143310546875,0.00010462978631288442,0.014278173446655273,0.0019586686010808173,cosine,11,distance,"OrderedDict({'metric': 'cosine', 'n_neighbors': 11, 'weights': 'distance'})",0.6675,0.6275,0.6325,0.6325,0.6075,0.6335,0.019339079605813703,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6697448759849003,0.6295238095238095,0.6409611957764834,0.6334642794188008,0.6082823399058195,0.6363953001219627,0.0198956699353559,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6675,0.6275,0.6325000000000001,0.6325000000000001,0.6074999999999999,0.6335,0.01933907960581373,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.66639702516445,0.6260392156862745,0.6269011859212306,0.6318350019723125,0.6067897640112453,0.6315924385511027,0.01938781517393399,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1
0.001105928421020508,0.00012393561897485391,0.014642953872680664,0.007827933582379279,cosine,24,distance,"OrderedDict({'metric': 'cosine', 'n_neighbors': 24, 'weights': 'distance'})",0.635,0.61,0.63,0.625,0.6175,0.6235,0.008888194417315589,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6412281619416257,0.6132736072495109,0.6410590277777778,0.6268262987012987,0.6216639486422821,0.628810208862499,0.010960201164560411,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.635,0.61,0.63,0.625,0.6174999999999999,0.6234999999999999,0.008888194417315604,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6309310144341364,0.6071617435974919,0.6226030191758466,0.6236451224407868,0.6141989901091212,0.6197079779514765,0.008217005072700715,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1
0.001314401626586914,8.649213552607203e-05,0.018095636367797853,0.002557986384605705,cosine,48,uniform,"OrderedDict({'metric': 'cosine', 'n_neighbors': 48, 'weights': 'uniform'})",0.6,0.5825,0.59,0.6025,0.585,0.592,0.007968688725254624,20,0.61875,0.641875,0.631875,0.629375,0.62125,0.628625,0.008229140295316384,0.6202067556196658,0.5968565642335124,0.6251564455569463,0.6192727272727273,0.5984822152705365,0.6119949415906776,0.011877621667199263,19,0.6413690476190477,0.6675180939835544,0.6655944231565358,0.6531135869816467,0.6457506911888449,0.6546691685859259,0.010424090965162074,0.6000000000000001,0.5825,0.59,0.6025,0.585,0.592,0.007968688725254644,20,0.61875,0.641875,0.631875,0.629375,0.6212500000000001,0.6286250000000001,0.008229140295316363,0.582452569221535,0.5664336572099876,0.5590330994057702,0.5880161943319838,0.5702932877740674,0.5732457615886688,0.010583502484816135,20,0.6028645833333333,0.6276245100082005,0.6121298327886111,0.6144304131828388,0.604634776481641,0.6123368231589249,0.008799820267888812,20,19,20,20
0.0012159347534179688,0.00011960574030395267,0.08054547309875489,0.022793416895890473,manhattan,40,uniform,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 40, 'weights': 'uniform'})",0.625,0.5975,0.605,0.6275,0.6025,0.6115,0.012308533625091145,14,0.634375,0.63375,0.635625,0.644375,0.640625,0.63775,0.004100304866714181,0.646096306685367,0.6144668486396055,0.6439144736842105,0.6425576519916143,0.6214490950561331,0.633696875211386,0.013087861744850745,5,0.6548659419180687,0.6552986596419423,0.6688798093292476,0.6689291101055806,0.6645413410119292,0.6625029724013537,0.006266427986169795,0.625,0.5975,0.605,0.6275000000000001,0.6025,0.6115,0.012308533625091175,14,0.634375,0.63375,0.635625,0.6443749999999999,0.640625,0.6377499999999999,0.004100304866714146,0.6109554933084345,0.5820108910826827,0.5763620763620764,0.6173968865350665,0.586365676155542,0.5946182046887605,0.016407986781635943,17,0.6218669189708479,0.6205885733062048,0.6167585944802227,0.6309650482878829,0.6270736428216743,0.6234505555733665,0.005001510824219132,19,15,18,18
0.0009402275085449219,0.00011835330727236186,0.08206148147583008,0.020057024911101822,manhattan,47,uniform,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 47, 'weights': 'uniform'})",0.6225,0.585,0.6125,0.625,0.5975,0.6085,0.015215124054702957,16,0.635,0.64625,0.64,0.64125,0.6475,0.642,0.004513867521316934,0.6401641923395978,0.5940369509901537,0.6418708029887449,0.6356336805555556,0.6075002067311668,0.6238411667210438,0.019421074020511422,15,0.6506706938524962,0.6594276954522228,0.6632664961114877,0.6562672862042261,0.6661457013319816,0.6591555745904829,0.005406866159200037,0.6225,0.585,0.6125,0.625,0.5975,0.6085,0.015215124054702957,16,0.635,0.64625,0.64,0.64125,0.6475,0.642,0.004513867521316934,0.6102194774101537,0.5747841901688056,0.5913497979817953,0.6175030599755202,0.5879164827008108,0.5963546016474172,0.015498545944808827,15,0.6252560723435452,0.6387858481911373,0.6267006265402244,0.632418863188094,0.6373246908578815,0.6320972202241765,0.005442282153972412,16,16,15,15
0.0009426116943359375,7.074351322298978e-05,0.011144638061523438,0.002246041020326417,cosine,36,distance,"OrderedDict({'metric': 'cosine', 'n_neighbors': 36, 'weights': 'distance'})",0.63,0.6,0.62,0.635,0.6225,0.6215,0.012000000000000012,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6402221982526157,0.60558547143913,0.6390337156760515,0.6425403864428254,0.630322614963164,0.6315408773547573,0.01362104561565589,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.63,0.6,0.62,0.635,0.6225,0.6215,0.012000000000000012,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6231315729164014,0.5946391021256112,0.6065336129015557,0.6301081806896203,0.616748837238815,0.6142322611744008,0.012495893659624065,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1
0.0014177322387695312,0.0001303461737246928,0.015731287002563477,0.002127676095431319,euclidean,42,distance,"OrderedDict({'metric': 'euclidean', 'n_neighbors': 42, 'weights': 'distance'})",0.62,0.6,0.6175,0.615,0.6175,0.614,0.00717635004720368,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.635685210312076,0.6072501072501073,0.6405544424175365,0.6240427138388522,0.6271129141311698,0.6269290775899484,0.011471243979152945,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.62,0.6,0.6174999999999999,0.615,0.6174999999999999,0.6139999999999999,0.007176350047203657,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6086911749562351,0.5931237920862578,0.6011444287306357,0.607853123169769,0.6101290014333492,0.6041883040752494,0.006335412108695165,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1
